SOL,MG,MH
0.032,-0.018,0.005
0.067,-0.031,0.007
0.009,0.076,-0.004
-0.093,-0.039,0
-0.014,-0.036,0.006
0.055,-0.031,-0.002
0.039,-0.004,0.011
0.046,-0.053,0.007
0.027,0.095,0.002
0.039,0.085,0.007
-0.071,0.023,-0.007
0.05,-0.073,0.012
0.061,-0.117,-0.013
0.02,-0.148,0.01
0.014,-0.036,0.014
-0.133,0.036,-0.01
-0.078,0.11,0.002
-0.106,0.224,0.006
0.063,-0.013,-0.007
0.133,-0.155,0.021
0.062,0.081,0.004
0.069,-0.028,-0.009
0.021,-0.054,-0.02
0.073,-0.004,0.004
-0.086,0.06,0.008
-0.047,-0.068,0.005
0.043,-0.029,-0.001
0.102,0.057,-0.002
0.032,0.027,0.003
-0.04,-0.01,0
0.011,0.018,0.012
-0.102,0.008,0
0.026,-0.007,-0.003
0.06,-0.009,0.007
0.083,0.007,0.004
0.104,0.004,0.027
0.018,-0.029,0.014
-0.023,0.019,0.042
0.019,-0.014,0.006
0.044,0.007,-0.013
0.021,-0.002,-0.002
-0.001,-0.002,0
-0.022,-0.026,-0.016
0.04,0.005,0
0.035,0.017,0.021
0.033,-0.004,0.035
0.007,0.041,0.022
-0.011,0.043,-0.005
-0.055,0.036,0.018
-0.177,-0.04,0.006
-0.086,0.023,-0.009
0.078,-0.138,-0.008
0.164,-0.005,0.019
0.125,0.035,0.009
0.104,-0.024,0.006
0.002,-0.02,0.002
0.03,-0.002,-0.001
-0.029,0.1,0.022
0.009,0.018,0.009
-0.031,-0.037,0.005
0.04,0.012,0
0.052,0.015,-0.011
-0.023,0.035,-0.001
-0.013,-0.001,-0.001
-0.033,-0.023,0.014
0.047,-0.013,-0.005
0.034,0.023,0.009
0.056,0.006,0.003
0.063,0.013,0.014
0.054,0.021,0.037
0.016,0.011,0.008
0.021,0.01,0.001
0.017,-0.025,0.012
0.005,0.021,0.002
-0.06,-0.021,0.012
0.011,-0.005,0.008
0.016,0.05,-0.004
0.053,0.003,0.015
0.043,-0.012,0.005
0.022,-0.037,0.024
-0.011,0.031,0.007
0.036,-0.001,0
0.005,-0.015,0.024
0.014,0.019,0.012
0.009,-0.006,0.011
0.01,0.009,0.006
0.008,-0.004,-0.006
-0.038,0.027,0.011
-0.005,0.007,0.006
0.013,-0.018,0.001
0.021,0.01,0.022
0.027,-0.013,0.022
0.06,-0.02,-0.02
0.053,-0.051,0.01
0.01,0.035,0.014
0.029,0.066,-0.003
0,0.054,0.009
0.018,0.03,0.01
0.007,-0.016,0.016
0.002,-0.005,0.012
0.016,-0.015,0.007
0.104,-0.08,0.002
0.085,-0.009,-0.002
0.033,-0.016,0.002
0.06,-0.004,-0.006
0.024,0.031,-0.008
0.019,0.039,0.017
0.002,0.038,0.013
-0.049,-0.007,0.007
-0.055,0.03,-0.002
-0.083,-0.059,-0.01
-0.013,-0.02,-0.009
0.058,-0.032,0.002
0.076,-0.014,-0.004
0.025,-0.031,0.026
0.058,0.056,0.002
0.089,0.027,-0.01
0.039,0.024,0.006
0.013,0.036,0.015
0.014,0.002,-0.014
-0.001,0.013,0.012
-0.008,-0.01,0.016
0.036,0,0.016
0.034,-0.045,0.005
-0.061,0.081,0.005
-0.042,-0.157,0.011
0.058,0.044,-0.004
0.102,-0.121,-0.01
0.096,0.027,-0.019
-0.043,0.066,-0.003
0.052,0.04,0.011
0.026,0.031,-0.003
0.07,0.004,-0.004
-0.03,-0.032,0.008
-0.111,-0.024,-0.005
-0.03,-0.033,0.016
-0.017,0.024,-0.006
-0.021,0.027,-0.005
0.081,0.001,0.002
0.024,0.01,0.01
0.1,-0.024,0.016
0.04,-0.003,-0.017
0.046,-0.034,0.011
0.014,-0.061,0.01
0.011,0.024,0.001
