DIA 0,DIA 5,DIA 15,DIA 20,DIA 30
-0.0045,-0.004,-0.025,-0.035,-0.009
-0.0039,0.015,-0.007,0.0322,0.099
0.0006,0.002,-0.002,0.0378,-0.0075
-0.0048,-0.003,-0.001,-0.0602,0.078
-0.0027,-0.007,0.002,0.007,0.018
-0.0039,-0.017,0.021,0.0686,-0.0135
-0.0024,0.003,0.028,0.0658,0.081
-0.0024,0.011,0.029,0.0336,0.0435
-0.0003,0.005,0.009,-0.049,0.033
-0.0021,0.003,0.027,0.0434,0.0435
-0.0015,0.004,0.002,0.0378,0.0315
-0.0057,0.007,0.024,0.0476,0.036
-0.0024,0.009,0.006,0.0014,0.0105
0,0.016,0.025,-0.0182,-0.018
-0.0045,0.013,0.009,0.0098,-0.0165
-0.0018,0.019,0.003,0.0448,-0.0105
-0.0048,0.01,-0.011,-0.0462,-0.027
-0.006,0.012,0.001,-0.042,-0.108
0.0015,0.015,0.018,0.007,0.024
-0.003,0.019,0.002,0.021,0.0255
-0.0024,0.007,0.044,0.014,0.003
-0.0048,0.008,0.07,-0.0084,-0.0105
-0.0015,0.001,0.041,0.0042,0.0405
-0.0048,0.016,-0.001,-0.0266,0.0225
0.003,0.021,0.018,-0.014,-0.0135
0.0036,0.007,0.015,0.0588,0.0285
0.0009,-0.004,0.004,0.0042,0.0615
0.0012,0.005,0.019,0.007,0.069
-0.0036,0.004,0.007,0.0812,0.039
-0.0078,0.003,-0.006,0.0126,0.027
-0.006,0.006,0.032,0.0266,0.0315
-0.0027,0.009,0.03,0.042,-0.0165
0,0.012,-0.011,-0.0168,0.096
-0.0033,0.008,0.04,0.07,-0.036
-0.0006,-0.006,-0.004,0.0308,0.006
-0.0015,0.007,0.018,0.0854,0.0645
0.0009,-0.017,0.015,0.028,0.024
-0.0009,0.013,-0.016,0.0392,0.0405
0.0021,0.002,-0.042,0.0014,0.0375
0.0006,0.015,0.017,0.0056,0.018
0.0015,0.01,0.007,0.0154,-0.0345
-0.0036,0.007,-0.014,-0.0518,0.0165
-0.0018,-0.001,-0.008,-0.0336,0.0765
-0.0006,0.006,-0.014,0.0084,-0.0015
-0.0009,0.02,-0.03,0.035,0.003
0.0027,0.019,0.047,-0.0098,0.054
-0.003,0.01,0.024,0.0112,0.012
-0.0066,0.002,0.016,0.0392,0.027
-0.0021,0.013,-0.015,-0.0266,-0.018
-0.0027,0.007,-0.031,-0.0084,-0.033
-0.006,0.01,0.008,-0.0322,0.0705
-0.0042,0,0.024,-0.0028,0.0285
-0.0021,0.015,0.044,0.0294,0.009
-0.0054,0.014,0.002,-0.0084,0.066
-0.0054,0.023,0.006,-0.035,-0.066
-0.006,0.018,-0.035,0.0406,-0.012
-0.0003,0.013,0.023,-0.0154,0.036
-0.0021,0.001,-0.021,0.0364,-0.0015
-0.0042,0.01,0.012,0.0308,-0.0225
-0.0006,0.022,-0.03,0.0378,0.024
-0.0015,0.012,-0.007,0.0308,-0.0435
0.0033,0.009,-0.001,0.0588,-0.0435
-0.0033,-0.004,0.012,-0.0028,0.0225
-0.0081,0.025,0.026,0.0112,0.0465
0,0.017,0.021,0.0518,0.063
-0.0021,0.019,-0.011,0.0294,0.0855
0,0.025,0.054,-0.0126,0.0345
-0.0036,0.005,0.04,-0.063,-0.012
-0.0057,0.02,-0.003,0.0266,0.072
-0.0066,0.006,-0.011,0.0028,-0.0165
0.0006,0.004,0.017,-0.0392,0
-0.0012,0.002,-0.016,-0.0476,0.0075
-0.0051,0.011,0.038,0.0028,-0.0915
-0.0063,-0.016,-0.004,0.0126,-0.0105
0.0012,0.009,0.022,-0.0014,0.012
-0.0051,0.002,0.013,-0.014,0.0225
-0.0006,0.006,0.031,-0.0224,0.0675
0.0018,-0.008,0.019,0.0182,-0.0015
0.0021,0.007,0.01,0.0154,0.081
-0.0006,0.011,-0.01,-0.0084,0.039
-0.0012,0.007,0.058,-0.0364,0.0645
-0.0042,0.011,0.018,0.0392,0.0345
-0.0039,-0.009,-0.004,0.0154,0.0405
-0.0084,-0.007,-0.031,0.0308,-0.039
-0.0015,-0.005,-0.013,0.0126,-0.0285
-0.0033,0.019,0.028,0.0196,-0.033
-0.0003,0.008,0.003,-0.0028,-0.0135
-0.0033,0.006,0.034,0.007,0.0105
0.0024,0.007,-0.016,-0.0378,0.0225
-0.0033,-0.001,-0.006,0.0126,0.027
-0.0012,0.017,0.017,0.0294,0.0585
-0.006,0.004,-0.002,0.0014,0.0075
-0.0057,0.023,0.003,0.0196,0.006
0.0009,0.001,0.001,0.0588,0.0405
0.0021,0.01,0.032,0.0266,0.0885
-0.003,0.006,-0.031,0.0322,0.1035
-0.0042,0.014,-0.011,0.0112,0.0945
-0.0006,-0.008,0.011,0.063,0.0345
-0.0027,0.007,0.039,0.0602,-0.0945
-0.0039,0.008,0.047,-0.0168,-0.1125
0.0042,0.024,0.027,0.0112,-0.0735
0.0015,0.003,0.005,0.0266,-0.1005
-0.003,0.013,0.062,0.0098,0.006
-0.0015,0.035,-0.01,0.0182,0.039
-0.0024,0.013,-0.022,0.0602,0.0045
-0.0042,0.022,-0.038,0.0126,0.081
-0.0066,0.026,0.037,0.007,0.093
-0.0012,0.001,0.006,-0.0084,0.0525
-0.0069,0.005,0.007,0.0924,0.027
0.0015,0.012,0.005,-0.0182,-0.1275
-0.0015,0.021,0.031,-0.0056,-0.114
0.0012,-0.007,0.007,0.0434,0.048
0,0.006,0.016,0.0322,0.036
0.0021,-0.002,0.035,0.0406,0.0675
0.0039,0.002,-0.012,-0.007,0.1155
0.0021,0.012,0.022,-0.021,0.06
0.0039,0.022,-0.036,-0.0266,-0.0705
0.0021,0.013,-0.012,0.0014,-0.015
-0.0039,0.008,0.045,0.0056,-0.066
-0.0141,0.013,-0.018,-0.0588,-0.3795
-0.0039,0.022,-0.011,-0.0336,-0.4875
-0.0045,0.001,0.044,0.007,0.243
-0.0045,0.009,0.058,-0.0014,0.699
0.0009,0.013,0.004,-0.0224,0.2745
-0.0018,0.006,0.014,0.007,0.072
-0.0033,0.002,-0.003,0.028,-0.0225
0.0033,-0.016,0.016,-0.014,0.012
-0.0057,0.003,0.027,-0.0056,-0.0495
-0.0105,0.023,0.005,-0.0196,-0.018
-0.0012,0.008,0.035,0.077,-0.09
0.0015,0.018,0.003,0.0224,-0.0555
-0.0036,0.018,0.026,0.028,-0.111
-0.0006,0.001,0.006,0.0112,-0.099
0,0.017,-0.007,-0.0014,0.0045
-0.0003,0.006,-0.014,-0.0448,0.009
-0.0093,0.002,0.003,0.0238,0.0075
0.0027,0.012,-0.009,0.0238,0.03
0.0036,0.004,0,0.014,0.024
-0.0012,0.011,-0.068,0.0364,-0.0225
-0.0012,0.005,0.006,0.0308,0.069
-0.0015,0.002,0.043,0,-0.0165
0.0009,0.009,0.02,0.0868,-0.012
0.003,0.019,0.016,0.0084,0.078
0.0045,0.015,0.033,-0.007,0.0435
0.0003,0.025,0.041,0.042,0.0255
0.0006,0.023,0.058,-0.0196,0.06
0.0024,0.009,0.015,0.0126,0.0105
-0.0036,0.024,-0.01,0.0126,0.0675
0.0045,0.009,-0.027,-0.0266,-0.0675
0.0021,0.014,0.015,0.0322,0.0165
0.0006,-0.002,0.021,0.021,-0.024
-0.0015,-0.004,0.026,-0.0182,-0.012
0,0.02,0.024,0.0448,-0.0075
0.0015,0.017,0.053,0.0154,-0.024
-0.0003,0.011,0.017,-0.0952,0.015
0.0018,-0.005,0.008,0.0378,0.0795
-0.0012,0.014,0.016,0.0392,0.039
0.0006,0.007,-0.014,-0.0462,0.018
-0.0021,0.005,0.016,0.0154,0.036
0.0006,0.013,0.021,0.0224,0.0495
-0.0033,0.011,-0.001,0.0448,0.123
-0.0021,0.002,-0.007,0.0798,0.0315
-0.0027,-0.005,0.02,0.0392,-0.0015
0.0051,-0.007,-0.058,-0.0154,-0.003
0.0009,0.015,0.002,0.0266,0.036
-0.0012,0.01,0.003,0.0112,0.0975
-0.0018,0.007,0.024,0.0308,0.0675
-0.0045,0.007,-0.004,-0.0056,0.069
-0.0051,0.01,-0.005,0.0252,0.0705
-0.0015,0.024,-0.01,0.028,0.0585
-0.0015,0.027,-0.012,-0.0168,0.0345
-0.0054,0.015,-0.032,-0.0112,0.0495
0.0012,0.011,0.036,-0.0294,-0.006
-0.003,0.022,-0.02,-0.0014,0.066
-0.0057,0.016,0,-0.0196,0.0135
-0.0021,0.014,0.026,0.0196,-0.0105
0.0027,0.023,-0.023,0.0252,0.015
-0.0009,0.013,0.02,0.0154,-0.0105
-0.006,0.005,0.003,-0.0084,-0.0285
-0.0039,0.006,0.014,0.0182,0.069
-0.0024,0.02,0.015,0.0868,0.0165
0,0.005,-0.004,-0.028,-0.0255
-0.0018,0.019,-0.026,0.0098,0.0225
0.0012,0.01,0.045,-0.0126,0.054
0.0009,0.013,0.009,-0.0364,0.0315
0.0003,0.018,0.024,-0.0364,0.0255
0.0015,0.016,0.01,0.0098,0.033
0.0006,0.018,0.018,0,0.054
-0.0039,0.007,0.045,0.0154,0.0135
-0.0018,0.008,0.006,0.0602,0.0165
-0.0006,-0.009,-0.002,0.007,0.0105
-0.0012,0.011,0.079,0.0308,-0.054
-0.0027,0.002,0.026,0.0084,0.021
0.0003,0.002,0.012,-0.0476,0.063
-0.003,0.008,0.04,-0.0098,-0.03
0.0021,0.01,0.048,0.0252,0
-0.0021,0.023,-0.004,0.0392,0.009
0.0012,0.013,-0.039,0.0336,0.039
0.0042,0.01,0.003,0.0056,0.0045
0,0.017,-0.002,-0.021,0.009
0,-0.012,-0.02,0.0448,0.1035
-0.0033,0.022,-0.008,0.0196,0.09
0,0.01,-0.006,-0.0224,0.06
-0.0069,0,0.014,-0.0476,0.0645
-0.0042,0.002,-0.031,0.0182,0.0495
-0.0093,0.006,0.003,0.0126,-0.0765
-0.0051,0.018,-0.018,0,-0.183
0.0042,-0.001,-0.043,0.0014,-0.075
-0.0015,0.016,-0.012,-0.0224,-0.1005
0.0042,0.008,-0.064,0.0126,-0.069
-0.0015,-0.007,-0.019,0.0084,0.015
0.0027,0.001,0.038,0.014,0.0615
-0.0006,0.009,0.01,0.0154,0.0855
-0.0039,0.01,0.003,0.007,0.069
-0.0006,0.018,-0.015,0.056,0.06
-0.0057,-0.008,-0.038,0.0532,0.0255
-0.0033,0.02,-0.031,-0.0014,0.0675
-0.0057,0.018,0.016,0.0084,0.0705
-0.0018,0.011,0.009,0.0532,0.0645
-0.0006,0.011,0,0.0098,0.075
-0.0006,0.007,-0.013,0.0364,0.0435
-0.0006,0.018,0.059,0.0336,0.0945
0.0012,0.016,-0.005,0.0014,0.018
-0.0069,-0.003,0.077,0.063,0.0045
0.0021,0.009,0.031,0.0252,0.003
0.0003,-0.01,0.051,0.0406,0.0285
-0.0003,0.012,-0.001,0.0532,0.0555
